,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi
Hesburger Tartu Anne,0.0,519.58,1113.77,3977.82,3648.56,1290.72,2649.81,59082.2,75630.72,71929.23,136861.64,136160.0,138568.03,138622.16,266798.34,189433.69,74816.8,87245.6,164615.09,148367.75,152456.61,148601.63,140418.8,144752.56,149376.84,143947.75,148363.2,143899.94,150239.59,149530.22,150762.53,147109.27,151937.25,151046.17,145640.17,147212.83,149301.69,149744.19,145178.98,151618.05,147191.27,151803.75,142369.69,94335.28,100746.16,100157.66,110660.13,113694.36,112067.91,141596.72,142356.34,153754.8
Hesburger Tartu Eedeni keskus,519.58,0.0,1144.84,3917.73,3679.64,1321.8,2680.88,58694.02,75563.4,71861.91,136794.33,136092.67,138500.72,138554.84,266731.03,189792.45,75175.55,87604.35,164973.84,148726.52,152815.38,148960.38,140777.56,145111.33,149735.59,144306.52,148721.95,144258.69,150598.34,149888.98,151121.28,147468.02,152296.0,151404.92,145998.92,147571.58,149660.45,150102.94,145537.75,151976.8,147550.02,152162.5,142728.45,94694.03,101104.91,100516.41,111093.7,114127.94,112501.48,142030.3,142789.92,154113.55
Hesburger Tartu Kvartal,1113.77,1144.84,0.0,2877.2,2639.84,494.38,1641.09,58491.9,74534.21,70832.73,135765.14,135063.48,137471.53,137525.66,265701.84,189101.41,74484.52,86913.32,164282.81,148035.47,152124.34,148269.34,140086.53,144420.3,149044.56,143615.48,148030.92,143567.66,149907.31,149197.95,150430.25,146776.98,151604.97,150713.89,145307.89,146880.55,148969.41,149411.91,144846.72,151285.77,146858.98,151471.47,142037.42,94003.0,100413.88,99825.38,111483.21,114517.45,112890.99,142419.81,143179.42,153422.52
Hesburger Tartu Lõunakeskus,3977.82,3917.73,2877.2,0.0,1608.32,3098.96,2060.8,57938.16,72085.33,68383.84,133316.25,132614.61,135022.64,135076.77,263252.97,188707.81,77032.97,89461.77,166831.25,150583.92,154672.78,150817.78,142634.97,146968.73,151593.02,146163.92,150579.36,146116.09,152455.77,151746.39,152978.7,149325.42,154153.42,153262.34,147856.34,149428.98,151517.86,151960.36,147395.16,153834.22,149407.44,154019.91,144585.86,96551.45,102962.32,102373.83,114178.2,117212.45,115585.99,145114.81,145874.42,155970.97
Hesburger Tartu Ringtee Drive-in,3648.56,3679.64,2639.84,1608.32,0.0,2374.67,1026.26,59081.39,73434.73,69733.24,134665.64,133964.0,136372.05,136426.17,264602.34,187608.31,75998.43,88427.23,165796.72,149549.39,153638.25,149783.25,141600.44,145934.2,150558.47,145129.39,149544.83,145081.56,151421.22,150711.86,151944.16,148290.89,153118.88,152227.8,146821.8,148394.45,150483.33,150925.81,146360.63,152799.67,148372.89,152985.38,143551.33,95516.91,101927.78,101339.29,113468.16,116502.39,114875.95,144404.77,145164.38,154936.42
Hesburger Tartu Vabaduse,1290.72,1321.8,494.38,3098.96,2374.67,0.0,1375.92,58816.36,74751.86,71050.38,135982.78,135281.14,137689.17,137743.3,265919.5,188617.59,74000.71,86429.51,163799.0,147551.66,151640.53,147785.53,139602.72,143936.47,148560.75,143131.66,147547.11,143083.84,149423.5,148714.14,149946.44,146293.17,151121.16,150230.08,144824.08,146396.73,148485.59,148928.09,144362.89,150801.95,146375.17,150987.66,141553.61,93519.19,99930.06,99341.56,111108.69,114142.92,112516.48,142045.28,142804.91,152938.7
Hesburger Tartu Veeriku,2649.81,2680.88,1641.09,2060.8,1026.26,1375.92,0.0,58666.08,73865.34,70163.86,135096.27,134394.63,136802.66,136856.8,265032.97,189616.56,74999.68,87428.48,164797.97,148550.63,152639.5,148784.5,140601.67,144935.44,149559.72,144130.63,148546.08,144082.81,150422.47,149713.11,150945.41,147292.14,152120.13,151229.05,145823.05,147395.7,149484.56,149927.06,145361.86,151800.92,147374.14,151986.63,142552.56,94518.16,100929.03,100340.53,112469.41,115503.64,113877.19,143406.0,144165.63,153937.67
Hesburger Võru,59082.2,58694.02,58491.9,57938.16,59081.39,58816.36,58666.08,0.0,55758.39,100582.14,140711.86,140010.22,142418.25,142472.38,270648.56,225270.14,132814.34,145243.14,222612.63,206365.3,210454.16,206599.16,198416.34,202750.11,207374.38,201945.3,206360.73,201897.47,208237.13,207527.77,208760.06,205106.8,209934.78,209043.7,203637.7,205210.36,207299.23,207741.72,203176.53,209615.59,205188.8,209801.28,200367.23,152332.81,158743.69,158155.19,163299.02,166333.25,164706.8,194235.61,194995.22,211752.33
Hesburger Valga Rimi,75630.72,75563.4,74534.21,72085.33,73434.73,74751.86,73865.34,55758.39,0.0,63173.32,93347.88,92646.24,95054.28,95108.41,223284.59,183678.77,122719.34,118286.23,178019.45,176938.42,179546.7,182370.36,192274.42,185647.02,186920.84,189180.05,184709.25,187736.17,182752.23,185587.45,183754.69,186047.8,184533.75,185804.58,185530.09,185174.92,185757.94,183515.67,185950.63,185434.44,185427.53,185109.45,188471.34,168268.31,174679.19,174090.69,185831.11,188865.34,187238.89,216767.7,217527.33,179010.91
Hesburger Viljandi,71929.23,71861.91,70832.73,68383.84,69733.24,71050.38,70163.86,100582.14,63173.32,0.0,58953.59,58251.94,60659.98,60714.11,188890.3,133756.19,71799.22,56482.72,114244.98,113163.96,115772.24,118595.89,130470.91,121872.55,123146.38,125405.58,120934.78,123961.71,118977.77,121812.98,119980.22,122273.34,120759.29,122030.12,121755.63,121400.46,121983.47,119741.21,122176.16,121659.97,121653.07,121334.99,126667.83,100255.83,115015.57,115402.93,141991.25,145025.48,143399.03,182451.84,183211.47,115236.44
Hesburger Pärnu Maxima,136861.64,136794.33,135765.14,133316.25,134665.64,135982.78,135096.27,140711.86,93347.88,58953.59,0.0,827.25,2961.74,1822.19,129998.38,90562.66,100061.59,72168.59,98421.35,106539.55,107652.03,110475.69,126324.24,113752.34,115026.16,117285.37,112814.57,115841.5,110857.55,113692.78,111860.01,114153.13,112639.08,113909.91,113635.42,113280.25,113863.26,111621.0,114055.95,113539.76,113532.86,113214.78,118760.63,115941.7,130701.45,131088.8,174888.45,177922.69,177909.28,216962.09,217721.7,107116.23
Hesburger Pärnu Kaubamajakas,136160.0,136092.67,135063.48,132614.61,133964.0,135281.14,134394.63,140010.22,92646.24,58251.94,827.25,0.0,2601.28,2573.64,130749.82,91225.77,99352.3,71459.3,99084.46,107202.66,108315.14,111138.79,126987.35,114415.44,115689.27,117948.47,113477.68,116504.61,111520.66,114355.88,112523.12,114816.23,113302.19,114573.02,114298.53,113943.36,114526.37,112284.11,114719.05,114202.87,114195.97,113877.88,119423.73,115232.41,129992.16,130379.52,174179.17,177213.41,177199.98,216252.81,217012.42,107779.34
Hesburger Pärnu Niidu Drive,138568.03,138500.72,137471.53,135022.64,136372.05,137689.17,136802.66,142418.25,95054.28,60659.98,2961.74,2601.28,0.0,2888.61,130429.15,88966.84,101760.34,73867.34,96825.53,104943.73,106056.21,108879.86,124728.42,112156.52,113430.34,115689.55,111218.75,114245.68,109261.73,112096.95,110264.19,112557.3,111043.26,112314.09,112039.6,111684.43,112267.44,110025.18,112460.13,111943.94,111937.04,111618.96,117164.8,117640.45,132400.2,132787.55,176587.2,179621.45,179608.03,218660.84,219420.47,105520.41
